"","id","statistic","p.value","r.squared","adj.r.squared","sigma","df","logLik","AIC","BIC","deviance","df.residual","nobs","term","estimate","std.error"
"100","22",-0.667992567706739,0.504468328164302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",-1.94019433717884e-13,2.90451485686383e-13
"101","22",-0.311330028820407,0.755688668787835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",-7.62250788954308e-08,2.44836899235961e-07
"102","22",-0.106043085685607,0.915593702173293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",-4.41262123251678e-10,4.16115883839818e-09
"103","22",0.420924033268048,0.674004197374046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",1.87244241086805e-11,4.44840936339613e-11
"104","22",0.869911724573384,0.384795549804496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",9.1992553932808e-16,1.05749297697904e-15
"105","22",0.88536711088101,0.376414305255411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",7.96415382796873e-06,8.99531248686635e-06
"106","22",2.94305792511326,0.00341170417474831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",0.00703011068832248,0.00238870958955113
"107","22",464.12813806898,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",11.1274277175605,0.0239749043526139
"108","22",4114.54014590322,0,0.988777384057977,0.988537071082773,0.0550899363239536,10,712.93242437353,-1401.86484874706,-1351.82951995716,1.41729880631078,467,478,NA,NA,NA
"109","24",-1.67760767137001,0.0937210399578334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)2",-0.00343041433747749,0.00204482513761758
"110","24",-1.61654902269015,0.106275756920368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)10",-1.71056809029443e-18,1.05816035658963e-18
"111","24",-1.55513637384348,0.120214649356909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)8",-3.10413891912347e-13,1.99605576162537e-13
"112","24",-1.42446598334689,0.154608472714617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)6",-4.36872544772051e-09,3.06692156835916e-09
"113","24",-1.32789462455655,0.184501235132896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)4",-9.47248943010442e-06,7.13346470038444e-06
"114","24",1.35793572969745,0.174775528061763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)5",2.54100831588152e-07,1.87122870420948e-07
"115","24",1.38611662118606,0.166005294748725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)3",0.000225932826044949,0.000162996982066072
"116","24",1.49593224112362,0.134971521959056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)7",4.73364469432561e-11,3.16434432268811e-11
"117","24",1.53717002047618,0.124552663673804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",0.0182253881027431,0.0118564556034585
"118","24",1.59551721262286,0.110897255876967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)9",1.12141928575023e-15,7.02856275619074e-16
"119","24",462.393882921878,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Intercept)",10.364143416722,0.0224141014825515
"120","24",8779.75696177826,0,0.988170884410168,0.988058333357933,0.0702374704662765,10,1319.15345025309,-2614.30690050618,-2554.69199008456,5.18490067263362,1051,1062,NA,NA,NA
"121","28",-16.7497319767255,3.65954667361265e-56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"poly(logtime, 10, raw = TRUE)1",-0.19544514226881,0.0116685534156839
